Locali,Prezzi,Media prezzo:
"Bilocale via delle Acacie, Centocelle, Roma",€ 132.000,0
"Bilocale via Valmontone 45, Centocelle, Roma",€ 230.000,0
"Trilocale viale della Primavera, Tor de' Schiavi, Roma",€ 332.000,0
"Bilocale via delle Celidonie, Centocelle, Roma",€ 179.000,0
"Trilocale via Antonino Borzì 21, Centocelle, Roma",€ 222.000,0
"Bilocale via dei Frassini 32, Centocelle, Roma",€ 129.000,0
"Trilocale via dei Gelsi, Centocelle, Roma",€ 187.000,0
"Bilocale via degli Ontani, Centocelle, Roma",€ 135.000,0
"Trilocale viale delle Gardenie 151, Centocelle, Roma",€ 220.000,0
"Trilocale via dei Ciclamini 112, Centocelle, Roma",€ 289.000,0
"Trilocale via dei Ciclamini 16, Centocelle, Roma",€ 219.000,0
"Trilocale via dei Ciclamini 129, Centocelle, Roma",€ 259.000,0
"Trilocale via dei Gelsi 38, Centocelle, Roma",€ 239.000,0
"Trilocale via Percile 16, Centocelle, Roma",€ 240.000,0
"Quadrilocale via Giovanni Gussone, Centocelle, Roma",€ 390.000,0
"Monolocale via Enrico Carano 27, Centocelle, Roma",€ 119.000,0
"Bilocale via Enrico Carano 27, Centocelle, Roma",€ 179.000,0
"Monolocale via Giovanni Battista De Toni, Centocelle, Roma",€ 109.000,0
"Trilocale via delle Azalee, Centocelle, Roma",€ 270.000,0
"Bilocale via Giacomo Bresadola, Centocelle, Roma",€ 178.000,0
"Trilocale via delle Azalee, Centocelle, Roma","€ 149.000€ 159.000(-6,3%)",0
"Bilocale via delle Acacie 69, Centocelle, Roma",€ 115.000,0
"Monolocale viale delle Orchidee, Centocelle, Roma",€ 132.000,0
"Trilocale via Giacomo Bresadola, Centocelle, Roma",€ 229.000,0
"Bilocale piazza dei Mirti, Centocelle, Roma",€ 225.000,0
"Trilocale via Ferdinando Bassi 5, Centocelle, Roma",€ 149.000,0
"Quadrilocale via Tor de' Schiavi 192, Centocelle, Roma",€ 349.000,0
"Trilocale via Prenestina, Centocelle, Roma",€ 239.000,0
"Trilocale via Prenestina, Centocelle, Roma",€ 279.000,0
"Bilocale via dei Gelsi, Centocelle, Roma",€ 129.000,0
"Bilocale via dei Pini, Centocelle, Roma",€ 148.000,0
"Trilocale via Giovanni Passerini, Centocelle, Roma",€ 383.000,0
"Trilocale da ristrutturare, secondo piano, Centocelle, Roma",€ 175.000,0
"Bilocale via dei Frassini 31, Centocelle, Roma",€ 158.000,0
"Bilocale via Giacomo Bresadola 47, Centocelle, Roma",€ 199.000,0
"Bilocale via Papiria 50, Cinecittà, Roma",€ 249.000,0
"Bilocale via Calpurnio Pisone 111, Cinecittà, Roma",€ 169.000,0
"Bilocale via Papiria 50, Cinecittà, Roma",€ 249.000,0
"Monolocale via Dei Ciclamini, Centocelle, Roma",€ 49.000,0
"Trilocale via dei Gelsi, Centocelle, Roma",€ 249.000,0
"Trilocale via dei Frassini 117, Centocelle, Roma",€ 179.000,0
"Bilocale viale Palmiro Togliatti 561, Centocelle, Roma",€ 129.000,0
"Quadrilocale via dei Castani 111, Centocelle, Roma",€ 259.000,0
"Monolocale via dei Gelsi, Centocelle, Roma",€ 119.000,0
"Trilocale via dei Gerani, Centocelle, Roma",€ 210.000,0
"Bilocale via delle Robinie 184, Centocelle, Roma",€ 199.000,0
"Bilocale via Biagio Longo, Centocelle, Roma",€ 175.000,0
"Trilocale via delle Albizzie 29, Centocelle, Roma",€ 259.000,0
"Trilocale via dei Lecci 11, Centocelle, Roma",€ 159.000,0
"Monolocale via degli Anemoni, Centocelle, Roma",€ 155.000,0
"Bilocale via delle Ortensie 10, Centocelle, Roma",€ 74.000,0
"Quadrilocale via Vincenzo Cesati 94, Centocelle, Roma",€ 285.000,0
"Bilocale via Valmontone 45, Centocelle, Roma",€ 210.000,0
"Trilocale via dei gelsi 53, Centocelle, Roma",€ 235.000,0
"Bilocale via dei Faggi, Centocelle, Roma",€ 115.000,0
"Quadrilocale via Arpino, Centocelle, Roma",€ 255.000,0
"Trilocale via dei Giacinti, Centocelle, Roma",€ 239.000,0
"Bilocale via Valmontone 45, Centocelle, Roma",€ 210.000,0
"Bilocale via delle Rose 102, Centocelle, Roma",€ 119.000,0
"Trilocale viale palmiro togliatti 871, Centocelle, Roma",€ 93.750,0
"Bilocale via Valmontone 45, Centocelle, Roma",€ 230.000,0
"Quadrilocale via Scribonio Curione, Quadraro, Roma",€ 300.000,0
"Bilocale via dei Castani, Centocelle, Roma",€ 140.000,0
"Bilocale via delle Palme, Centocelle, Roma",€ 145.000,0
"Bilocale via delle Acacie 10, Centocelle, Roma",€ 129.000,0
"Trilocale via Riofreddo 44, Centocelle, Roma",€ 239.000,0
"Monolocale via dei Glicini 30, Centocelle, Roma","€ 89.000€ 99.000(-10,1%)",0
"Bilocale via delle Palme 41, Centocelle, Roma",€ 180.000,0
"Trilocale via del Trifoglio 43, Centocelle, Roma",€ 299.000,0
"Bilocale piazza degli Ontani 3, Centocelle, Roma",€ 110.000,0
"Trilocale via dei Glicini 137, Centocelle, Roma",€ 319.000,0
"Bilocale via dei Tigli 4, Centocelle, Roma",€ 149.000,0
"Quadrilocale via dei Castani, Centocelle, Roma","€ 245.000€ 260.000(-5,8%)",0
"Bilocale via delle Acacie 9, Centocelle, Roma",€ 169.000,0
"Bilocale via dei Castani, Centocelle, Roma",€ 229.000,0
"Trilocale via Vincenzo Menasi 15, Centocelle, Roma",€ 149.000,0
"Bilocale via degli elci 39, Centocelle, Roma",€ 159.000,0
"Trilocale piazzale delle Gardenie, Centocelle, Roma",€ 219.000,0
"Bilocale via Carpineto, Centocelle, Roma",€ 98.000,0
"Bilocale via Prenestina, Centocelle, Roma",€ 185.000,0
"Trilocale via Domenico Panaroli 56, Centocelle, Roma",€ 330.000,0
"Trilocale via dei Platani 41, Centocelle, Roma",€ 279.000,0
"Trilocale via dei Noci, Centocelle, Roma",€ 175.000,0
"Bilocale via delle Acacie, Centocelle, Roma",€ 189.000,0
"Trilocale via DEGLI ONTANI, Centocelle, Roma",€ 225.000,0
"Trilocale via Enrico Carano, Centocelle, Roma",€ 185.000,0
"Trilocale ottimo stato, terzo piano, Centocelle, Roma",€ 159.000,0
"Monolocale via dei Glicini, Centocelle, Roma",€ 95.000,0
"Trilocale via delle Albizzie, Centocelle, Roma",€ 309.000,0
"Bilocale via dei Gelsi, Centocelle, Roma",€ 129.000,0
"Trilocale piazza degli Ontani, Centocelle, Roma",€ 185.000,0
"Bilocale via dei Castani, Centocelle, Roma",€ 185.000,0
"Bilocale via dei platani 34, Centocelle, Roma",€ 165.000,0
"Trilocale via dei Gelsi 82, Centocelle, Roma",€ 239.000,0
"Bilocale via Vincenzo Briganti 12, Centocelle, Roma",€ 189.000,0
"Monolocale via dei Castani 144, Centocelle, Roma",€ 240.000,0
"Monolocale via degli Ontani 18, Centocelle, Roma",€ 145.000,0
"Trilocale viale Marco Fulvio Nobiliore 151, Cinecittà, Roma",€ 269.000,0
"Trilocale via delle Robinie 20, Centocelle, Roma",€ 223.000,0
"Monolocale via Carpineto 37, Centocelle, Roma",€ 64.999,0
