Locali,Prezzi,Media prezzo:
"Bilocale viale Palmiro Togliatti 884, Alessandrino - Torre Spaccata, Roma",€ 93.750,0
"Quadrilocale da ristrutturare, secondo piano, Centocelle, Roma",€ 239.000,0
"Bilocale via Filippo Parlatore, Centocelle, Roma",€ 150.000,0
"Trilocale via delle Albizzie, Centocelle, Roma",€ 269.000,0
"Bilocale primo piano, Centocelle, Roma",€ 162.000,0
"Bilocale buono stato, secondo piano, Centocelle, Roma",€ 159.000,0
"Bilocale via Carpineto, 32, Centocelle, Roma","€ 129.000€ 145.000(-11,0%)",0
"Bilocale via dei Noci, Centocelle, Roma",€ 169.000,0
"Monolocale via Tor de' Schiavi, Tor de' Schiavi, Roma",€ 110.000,0
"Monolocale viale Palmiro Togliatti 756, Alessandrino - Torre Spaccata, Roma",€ 140.000,0
"Trilocale via dei Castani 45, Centocelle, Roma",€ 209.000,0
"Bilocale via Carpineto , 32, Centocelle, Roma",€ 129.000,0
"Bilocale via dei Gelsi, Centocelle, Roma",€ 129.000,0
"Bilocale via delle Giunchiglie 51, Centocelle, Roma",€ 158.000,0
"Trilocale via Tor de' Schiavi 139, Centocelle, Roma",€ 225.000,0
"Bilocale via Arpino, Centocelle, Roma",€ 119.000,0
"Trilocale viale Palmiro Togliatti 869, Centocelle, Roma",€ 93.750,0
"Trilocale piazza dei Mirti, Centocelle, Roma",€ 200.000,0
"Bilocale via delle Acacie 33, Centocelle, Roma","€ 145.000€ 155.000(-6,5%)",0
"Quadrilocale via Dei Gerani , 65, Centocelle, Roma",€ 324.000,0
"Trilocale via Filippo Arena, Centocelle, Roma",€ 319.000,0
"Bilocale via Dei Ciclamini , 60, Centocelle, Roma",€ 110.000,0
"Bilocale via delle Palme, Centocelle, Roma",€ 145.000,0
"Bilocale via Vincenzo Cesati, Centocelle, Roma",€ 195.000,0
"Bilocale viale delle Gardenie, Centocelle, Roma",€ 195.000,0
"Trilocale 105 m², Centocelle, Roma",€ 259.000,0
"Trilocale via dei Glicini, 91, Centocelle, Roma",€ 190.000,0
"Quadrilocale buono stato, primo piano, Tor de' Schiavi, Roma",€ 499.000,0
"Trilocale viale della Primavera, Centocelle, Roma",€ 309.000,0
"Bilocale via delle Azalee, Centocelle, Roma",€ 180.000,0
"Bilocale via degli Olivi 48, Centocelle, Roma",€ 225.000,0
"Trilocale via delle Acacie 31, Centocelle, Roma",€ 240.000,0
"Bilocale via degli Olivi 90, Centocelle, Roma",€ 138.500,0
"Trilocale via dei Castani, Centocelle, Roma",€ 330.000,0
"Bilocale via Filippo Smaldone 14, Centocelle, Roma",€ 210.000,0
"Bilocale via Calpurnio Fiamma, Centocelle, Roma",€ 180.000,0
"Appartamento via dei Frassini 132, Centocelle, Roma",€ 30.000,0
"Trilocale viale delle Gardenie 167, Centocelle, Roma",€ 290.000,0
"Bilocale via Federico Delpino, Centocelle, Roma",€ 170.000,0
"Bilocale via dei Gelsi 54, Centocelle, Roma",€ 180.000,0
